Date,Holiday,State,Status
26-01-2026,Republic Day,Andaman And Nicobar Islands,Closed
15-02-2026,Maha Shivratri,Andaman And Nicobar Islands,Closed
04-03-2026,Holi,Andaman And Nicobar Islands,Closed
21-03-2026,Eid al-Fitr,Andaman And Nicobar Islands,Closed
27-03-2026,Ram Navami,Andaman And Nicobar Islands,Closed
01-04-2026,Annual Closing of Bank Accounts,Andaman And Nicobar Islands,Closed
03-04-2026,Good Friday,Andaman And Nicobar Islands,Closed
01-05-2026,Buddha Purnima,Andaman And Nicobar Islands,Closed
27-05-2026,Eid al-Zuha,Andaman And Nicobar Islands,Closed
26-06-2026,Muharram,Andaman And Nicobar Islands,Closed
15-08-2026,Independence Day,Andaman And Nicobar Islands,Closed
25-08-2026,Eid-e-Milad,Andaman And Nicobar Islands,Closed
02-10-2026,Mahatma Gandhi Jayanti,Andaman And Nicobar Islands,Closed
20-10-2026,Dussehra,Andaman And Nicobar Islands,Closed
08-11-2026,Deepavali / Diwali,Andaman And Nicobar Islands,Closed
24-11-2026,Guru Nanak Jayanti,Andaman And Nicobar Islands,Closed
25-12-2026,Christmas,Andaman And Nicobar Islands,Closed
14-01-2026,Makar Sankranti,Andhra Pradesh,Closed
26-01-2026,Republic Day,Andhra Pradesh,Closed
15-02-2026,Maha Shivratri,Andhra Pradesh,Closed
04-03-2026,Holi,Andhra Pradesh,Closed
21-03-2026,Id-ul-Fitr,Andhra Pradesh,Closed
03-04-2026,Good Friday,Andhra Pradesh,Closed
05-04-2026,Babu Jagjivan Ram's Birthday,Andhra Pradesh,Closed
14-04-2026,Dr B R Ambedkar Jayanti,Andhra Pradesh,Closed
01-05-2026,May Day / Labour day,Andhra Pradesh,Closed
27-05-2026,Id-ul-Adha,Andhra Pradesh,Closed
15-08-2026,Independence Day,Andhra Pradesh,Closed
25-08-2026,Eid-e-Milad,Andhra Pradesh,Closed
04-09-2026,Janmashtami,Andhra Pradesh,Closed
14-09-2026,Vinayaka Chavithi,Andhra Pradesh,Closed
02-10-2026,Mahatma Gandhi Jayanti,Andhra Pradesh,Closed
19-10-2026,Durgastami,Andhra Pradesh,Closed
20-10-2026,Vijaya Dasami,Andhra Pradesh,Closed
08-11-2026,Deepavali / Diwali,Andhra Pradesh,Closed
25-12-2026,Christmas,Andhra Pradesh,Closed
14-01-2026,Makar Sankranti,Arunachal Pradesh,Closed
26-01-2026,Republic Day,Arunachal Pradesh,Closed
20-02-2026,Statehood Day,Arunachal Pradesh,Closed
04-03-2026,Holi,Arunachal Pradesh,Closed
21-03-2026,Eid al-Fitr,Arunachal Pradesh,Closed
01-04-2026,Annual Closing of Bank Accounts,Arunachal Pradesh,Closed
03-04-2026,Good Friday,Arunachal Pradesh,Closed
15-04-2026,Bohag Bihu,Arunachal Pradesh,Closed
01-05-2026,Buddha Pournima,Arunachal Pradesh,Closed
15-08-2026,Independence Day,Arunachal Pradesh,Closed
02-10-2026,Mahatma Gandhi Jayanti,Arunachal Pradesh,Closed
19-10-2026,Mahanavami,Arunachal Pradesh,Closed
20-10-2026,Dussehra,Arunachal Pradesh,Closed
08-11-2026,Deepawali,Arunachal Pradesh,Closed
24-11-2026,Guru Nanak Jayanti,Arunachal Pradesh,Closed
01-12-2026,Indigenous Faith Day,Arunachal Pradesh,Closed
25-12-2026,Christmas,Arunachal Pradesh,Closed
15-01-2026,Magh Bihu,Assam,Closed
26-01-2026,Republic Day,Assam,Closed
03-03-2026,Dol Jatra,Assam,Closed
21-03-2026,Eid al-Fitr,Assam,Closed
03-04-2026,Good Friday,Assam,Closed
14-04-2026,Bohag Bihu,Assam,Closed
15-04-2026,Bohag Bihu Holiday,Assam,Closed
01-05-2026,May Day / Labour day,Assam,Closed
27-05-2026,Eid al-Zuha,Assam,Closed
15-08-2026,Independence Day,Assam,Closed
02-10-2026,Mahatma Gandhi Jayanti,Assam,Closed
18-10-2026,Durga Puja (Maha Saptami),Assam,Closed
18-10-2026,Kati Bihu,Assam,Closed
19-10-2026,Durga Puja (Maha Ashtami),Assam,Closed
20-10-2026,Durga Puja (Maha Navami),Assam,Closed
21-10-2026,Janmotsav Sri Sri Sankardeva,Assam,Closed
21-10-2026,Vijaya Dashami,Assam,Closed
08-11-2026,Kali Puja,Assam,Closed
24-11-2026,Guru Nanak Jayanti,Assam,Closed
25-12-2026,Christmas,Assam,Closed
26-01-2026,Republic Day,Bihar,Closed
03-03-2026,Holi,Bihar,Closed
04-03-2026,Holi 2nd Day,Bihar,Closed
21-03-2026,Eid al-Fitr,Bihar,Closed
22-03-2026,Bihar Divas,Bihar,Closed
27-03-2026,Shri Ram Navami,Bihar,Closed
01-04-2026,Yearly Closing of Bank Accounts,Bihar,Closed
03-04-2026,Good Friday,Bihar,Closed
14-04-2026,Dr B R Ambedkar Jayanti,Bihar,Closed
01-05-2026,May Day / Labour day,Bihar,Closed
27-05-2026,Eid al-Zuha,Bihar,Closed
26-06-2026,Muharram,Bihar,Closed
15-08-2026,Independence Day,Bihar,Closed
04-09-2026,Shri Krishna Janmashtami,Bihar,Closed
02-10-2026,Mahatma Gandhi Jayanti,Bihar,Closed
20-10-2026,Maha Navami,Bihar,Closed
21-10-2026,Vijaya Dashami,Bihar,Closed
08-11-2026,Deepawali,Bihar,Closed
15-11-2026,Chhat Puja,Bihar,Closed
16-11-2026,Chhat Puja,Bihar,Closed
25-12-2026,Christmas,Bihar,Closed
06-01-2026,Guru Gobind Singh Birthday,Chandigarh,Closed
26-01-2026,Republic Day,Chandigarh,Closed
01-02-2026,Guru Ravidas Jayanti,Chandigarh,Closed
15-02-2026,Maha Shivaratri,Chandigarh,Closed
04-03-2026,Holi,Chandigarh,Closed
21-03-2026,Id-ul-Fitr,Chandigarh,Closed
31-03-2026,Mahavir Jayanti,Chandigarh,Closed
03-04-2026,Good Friday,Chandigarh,Closed
01-05-2026,Buddha Purnima,Chandigarh,Closed
27-05-2026,Eid al-Zuha,Chandigarh,Closed
15-08-2026,Independence Day,Chandigarh,Closed
04-09-2026,Shri Krishna Janmashtami,Chandigarh,Closed
02-10-2026,Mahatma Gandhi Jayanti,Chandigarh,Closed
